iter	Passed	Remaining
980	31351	607
981	31542	578
982	31570	545
983	31581	513
984	31592	481
985	31779	451
986	31788	418
987	31799	386
988	31809	353
989	31828	321
990	31838	289
991	31849	256
992	31871	224
993	31906	192
994	31925	160
995	31936	128
996	31946	96
997	31972	64
998	31983	32
999	32186	0
